# Frequency(Hz) Magnitude(dB)
1.000000000000000000e+02 -1.021608428955078125e+02
1.013609894879559334e+02 -1.026333923339843750e+02
1.027405018997752251e+02 -1.029452209472656250e+02
1.041387893305043377e+02 -1.028553771972656250e+02
1.055561073061771822e+02 -1.018466644287109375e+02
1.069927148305097404e+02 -1.019544219970703125e+02
1.084488744322316336e+02 -1.025468750000000000e+02
1.099248522130609445e+02 -1.023051757812500000e+02
1.114209178963318010e+02 -1.015877380371093750e+02
1.129373448762848966e+02 -1.009917907714843750e+02
1.144744102680277820e+02 -1.011469421386718750e+02
1.160323949581751890e+02 -1.005902099609375000e+02
1.176115836561794623e+02 -9.999974060058593750e+01
1.192122649463586868e+02 -9.965074157714843750e+01
1.208347313406327999e+02 -9.993457031250000000e+01
1.224792793319787307e+02 -9.953898620605468750e+01
1.241462094486111454e+02 -9.903009033203125000e+01
1.258358263089024973e+02 -9.872889709472656250e+01
1.275484386770492762e+02 -9.899890136718750000e+01
1.292843595194958368e+02 -9.863764953613281250e+01
1.310439060621274621e+02 -9.813795471191406250e+01
1.328273998482398497e+02 -9.785612487792968750e+01
1.346351667972995756e+02 -9.808070373535156250e+01
1.364675372645029086e+02 -9.771745300292968750e+01
1.383248461011451411e+02 -9.719831848144531250e+01
1.402074327158129563e+02 -9.691641235351562500e+01
1.421156411364082146e+02 -9.706173706054687500e+01
1.440498200730158942e+02 -9.666749572753906250e+01
1.460103229816290593e+02 -9.612997436523437500e+01
1.479975081287396961e+02 -9.585153198242187500e+01
1.500117386568085465e+02 -9.591343688964843750e+01
1.520533826506278103e+02 -9.549163818359375000e+01
1.541228132045842756e+02 -9.495547485351562500e+01
1.562204084908406116e+02 -9.470625305175781250e+01
1.583465518284429265e+02 -9.469549560546875000e+01
1.605016317533687413e+02 -9.426551818847656250e+01
1.626860420895299910e+02 -9.374922180175781250e+01
1.649001820207400328e+02 -9.354257202148437500e+01
1.671444561636625110e+02 -9.347198486328125000e+01
1.694192746417512581e+02 -9.304698181152343750e+01
1.717250531601966657e+02 -9.255638122558593750e+01
1.740622130818936739e+02 -9.237713623046875000e+01
1.764311815044418950e+02 -9.224824523925781250e+01
1.788323913381937871e+02 -9.181958007812500000e+01
1.812662813853668524e+02 -9.133860778808593750e+01
1.837332964202304879e+02 -9.114286804199218750e+01
1.862338872703847414e+02 -9.094758605957031250e+01
1.887685108991465768e+02 -9.048188781738281250e+01
1.913376304890549022e+02 -8.997790527343750000e+01
1.939417155265149120e+02 -8.976589965820312500e+01
1.965812418875923697e+02 -8.949269104003906250e+01
1.992566919249757120e+02 -8.896031188964843750e+01
2.019685545561235642e+02 -8.845541381835937500e+01
2.047173253526089525e+02 -8.824530792236328125e+01
2.075035066306825229e+02 -8.794320678710937500e+01
