# Frequency(Hz) Magnitude(dB)
1.000000000000000000e+02 -3.542938232421875000e-01
1.013609894879559334e+02 -4.786376953125000000e-01
1.027405018997752251e+02 -2.681636810302734375e-01
1.041387893305043377e+02 1.159610748291015625e-01
1.055561073061771822e+02 1.256523132324218750e-01
1.069927148305097404e+02 2.361564636230468750e-01
1.084488744322316336e+02 7.032394409179687500e-02
1.099248522130609445e+02 1.359176635742187500e-01
1.114209178963318010e+02 9.936714172363281250e-02
1.129373448762848966e+02 2.842845916748046875e-01
1.144744102680277820e+02 1.251640319824218750e-01
1.160323949581751890e+02 1.627731323242187500e-01
1.176115836561794623e+02 7.390022277832031250e-02
1.192122649463586868e+02 1.920318603515625000e-01
1.208347313406327999e+02 1.128234863281250000e-01
1.224792793319787307e+02 1.216526031494140625e-01
1.241462094486111454e+02 4.979515075683593750e-02
1.258358263089024973e+02 1.292133331298828125e-01
1.275484386770492762e+02 1.079235076904296875e-01
1.292843595194958368e+02 9.856224060058593750e-02
1.310439060621274621e+02 2.247047424316406250e-02
1.328273998482398497e+02 7.335853576660156250e-02
1.346351667972995756e+02 9.290313720703125000e-02
1.364675372645029086e+02 6.830978393554687500e-02
1.383248461011451411e+02 -1.132202148437500000e-02
1.402074327158129563e+02 2.152824401855468750e-02
1.421156411364082146e+02 6.511116027832031250e-02
1.440498200730158942e+02 2.504920959472656250e-02
1.460103229816290593e+02 -5.126762390136718750e-02
1.479975081287396961e+02 -3.714942932128906250e-02
1.500117386568085465e+02 3.313827514648437500e-02
1.520533826506278103e+02 -2.638244628906250000e-02
1.541228132045842756e+02 -9.981536865234375000e-02
1.562204084908406116e+02 -1.019821166992187500e-01
1.583465518284429265e+02 8.239746093750000000e-04
1.605016317533687413e+02 -8.187866210937500000e-02
1.626860420895299910e+02 -1.524257659912109375e-01
1.649001820207400328e+02 -1.715869903564453125e-01
1.671444561636625110e+02 -3.413200378417968750e-02
1.694192746417512581e+02 -1.376342773437500000e-01
1.717250531601966657e+02 -2.111587524414062500e-01
1.740622130818936739e+02 -2.453422546386718750e-01
1.764311815044418950e+02 -7.175827026367187500e-02
1.788323913381937871e+02 -1.873531341552734375e-01
1.812662813853668524e+02 -2.693710327148437500e-01
1.837332964202304879e+02 -3.064823150634765625e-01
1.862338872703847414e+02 -1.144104003906250000e-01
1.887685108991465768e+02 -2.408103942871093750e-01
1.913376304890549022e+02 -2.958736419677734375e-01
1.939417155265149120e+02 -3.390998840332031250e-01
1.965812418875923697e+02 -1.613826751708984375e-01
1.992566919249757120e+02 -2.968502044677734375e-01
2.019685545561235642e+02 -3.300628662109375000e-01
2.047173253526089525e+02 -3.711338043212890625e-01
2.075035066306825229e+02 -2.102451324462890625e-01
2.103276075430662502e+02 -3.323402404785156250e-01
2.131901441719965931e+02 -3.701019287109375000e-01
2.160916396235355705e+02 -4.001827239990234375e-01
2.190326241231637141e+02 -2.442493438720703125e-01
2.220136351126739953e+02 -3.529586791992187500e-01
2.250352173483863396e+02 -4.068717956542968750e-01
